place,topic,local_relevant,local_total,us_relevant,us_total,combined_relevant,combined_total
Sydney,security,832,1125659,259,362507,1091,1488166
Sydney,resilience,210,1125659,156,362507,366,1488166
Sydney,migration,682,1125659,238,362507,920,1488166
Chennai,security,95,285053,18,14639,113,299692
Chennai,resilience,112,285053,17,14639,129,299692
Chennai,migration,67,285053,23,14639,90,299692
Florida,security,495,793081,3980,4633860,4475,5426941
Florida,resilience,646,793081,1700,4633860,2346,5426941
Florida,migration,683,793081,5565,4633860,6248,5426941
Alaska,security,77,62297,1250,652356,1327,714653
Alaska,resilience,54,62297,526,652356,580,714653
Alaska,migration,86,62297,2046,652356,2132,714653
Kenya,security,744,392896,480,163263,1224,556159
Kenya,resilience,603,392896,266,163263,869,556159
Kenya,migration,212,392896,607,163263,819,556159
Singapore,security,195,101841,993,377090,1188,478931
Singapore,resilience,91,101841,226,377090,317,478931
Singapore,migration,38,101841,354,377090,392,478931
London,security,843,1142798,2602,1900848,3445,3043646
London,resilience,980,1142798,727,1900848,1707,3043646
London,migration,853,1142798,3198,1900848,4051,3043646
Brazil,security,26,14985,1390,492599,1416,507584
Brazil,resilience,5,14985,240,492599,245,507584
Brazil,migration,10,14985,937,492599,947,507584
Islands,security,244,11799,1543,567956,1787,579755
Islands,resilience,234,11799,896,567956,1130,579755
Islands,migration,50,11799,1798,567956,1848,579755
"""Saudi Arabia""",security,26,12161,2185,481715,2211,493876
"""Saudi Arabia""",resilience,5,12161,95,481715,100,493876
"""Saudi Arabia""",migration,2,12161,2279,481715,2281,493876
